index,Activity Period,Operating Airline,Operating Airline IATA Code,Published Airline,Published Airline IATA Code,GEO Summary,GEO Region,Activity Type Code,Price Category Code,Terminal,Boarding Area,Passenger Count
391,200510,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Enplaned,Other,Terminal 1,C,63704
392,200510,EVA Airways,BR,EVA Airways,BR,International,Asia,Deplaned,Other,International,G,10122
393,200510,EVA Airways,BR,EVA Airways,BR,International,Asia,Enplaned,Other,International,G,11311
394,200510,Frontier Airlines,F9,Frontier Airlines,F9,Domestic,US,Deplaned,Low Fare,Terminal 1,B,12585
395,200510,Frontier Airlines,F9,Frontier Airlines,F9,Domestic,US,Enplaned,Low Fare,Terminal 1,B,12490
396,200510,Hawaiian Airlines,HA,Hawaiian Airlines,HA,Domestic,US,Deplaned,Other,Terminal 1,C,7556
397,200510,Hawaiian Airlines,HA,Hawaiian Airlines,HA,Domestic,US,Enplaned,Other,Terminal 1,C,6962
398,200510,Horizon Air ,QX,Alaska Airlines,AS,Domestic,US,Deplaned,Other,Terminal 1,B,4470
399,200510,Horizon Air ,QX,Alaska Airlines,AS,Domestic,US,Enplaned,Other,Terminal 1,B,4096
400,200510,Icelandair,FI,Icelandair,FI,International,Europe,Deplaned,Other,International,A,809
401,200510,Icelandair,FI,Icelandair,FI,International,Europe,Enplaned,Other,International,A,975
402,200510,Independence Air,DH,Independence Air,DH,Domestic,US,Deplaned,Low Fare,International,A,4550
403,200510,Independence Air,DH,Independence Air,DH,Domestic,US,Enplaned,Low Fare,International,A,4446
404,200510,Japan Airlines,JL,Japan Airlines,JL,International,Asia,Deplaned,Other,International,A,7147
405,200510,Japan Airlines,JL,Japan Airlines,JL,International,Asia,Enplaned,Other,International,A,7924
406,200510,KLM Royal Dutch Airlines,KL,KLM Royal Dutch Airlines,KL,International,Europe,Deplaned,Other,International,A,9383
407,200510,KLM Royal Dutch Airlines,KL,KLM Royal Dutch Airlines,KL,International,Europe,Enplaned,Other,International,A,9113
408,200510,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Deplaned,Other,International,A,4115
409,200510,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Enplaned,Other,International,A,3812
410,200510,Lufthansa German Airlines,LH,Lufthansa German Airlines,LH,International,Europe,Deplaned,Other,International,G,20840
411,200510,Lufthansa German Airlines,LH,Lufthansa German Airlines,LH,International,Europe,Enplaned,Other,International,G,19478
412,200510,Mesa Airlines,YV,US Airways,US ,Domestic,US,Deplaned,Other,Terminal 1,B,1502
413,200510,Mesa Airlines,YV,US Airways,US ,Domestic,US,Enplaned,Other,Terminal 1,B,1735
